"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined","lnRR","lnRR_Var","lnRR_SE"
"comp_92","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,"22","pre",NA,NA,NA,"no","",NA,"",8,"yes","yes","both","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"","90","ANXIETY","ACTIVITY","Open_Field","5","ambulation","?","yes","day","con_exp",54.14,4.92,7,78.42,4.16,12,"con_38","no","calorie-","calorie-.ACTIVITY","CR_act",0,13.0170964504378,14.4106627189731,169.4448,207.6672,-1.742407993006,-1.66438972466245,0.554677154272384,19,0.30766674547171,-0.37050571267803,0.0110724155613276,0.105225546144116
"comp_94","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,"22","pre",NA,NA,NA,"no","",NA,"",8,"yes","yes","both","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"","90","ANXIETY","ACTIVITY","Open_Field","5","grooming","#","yes","day","con_exp",6.86,0.55,7,6.42,0.71,12,"con_40","no","calorie-","calorie-.ACTIVITY","CR_act",0,1.45516322108552,2.45951214674781,2.1175,6.0492,0.20379236724422,0.194667335875076,0.476765189527387,19,0.227305045945085,0.0662893240359241,0.0186585873522021,0.136596439749366
"comp_95","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,"22","pre",NA,NA,NA,"no","",NA,"",8,"yes","yes","both","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"","90","ANXIETY","ACTIVITY","Open_Field","5","licking","#","yes","day","con_exp",3.14,0.86,7,1.58,0.47,12,"con_41","no","calorie-","calorie-.ACTIVITY","CR_act",0,2.27534612751555,1.62812775911474,5.1772,2.6508,0.828841468998321,0.791729164416306,0.494597616019787,19,0.244626801772457,0.686797952881287,0.16350060700659,0.404352082975456
"comp_96","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,"22","pre",NA,NA,NA,"no","",NA,"",8,"yes","yes","both","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"","90","ANXIETY","ACTIVITY","Open_Field","5","scratching","#","yes","day","con_exp",0.29,0.18,7,0.25,0.13,12,"con_42","no","calorie-","calorie-.ACTIVITY","CR_act",0,0.476235235991626,0.450333209967908,0.2268,0.2028,0.087024286364185,0.0831276765269827,0.475808488447665,19,0.226393717678852,0.148420005118273,0.65565564803805,0.809725662207917
"comp_323","s_30","D_48","A_79","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",0,"22","pre",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,841.2,22.2,15,16,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","Total_activity","#","yes","day","con_IUGR",109.18,29.59,6,164.29,28.57,6,"con_135","no","calorie-","calorie-.ACTIVITY","CR_act",0,72.4804014889542,69.9819219513154,5253.4086,4897.4694,-0.773559287603569,-0.714054727018679,0.586477375117349,24,0.343955711524536,-0.408635262564634,0.103693165486609,0.322014231807553
"comp_324","s_30","D_48","A_79","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",0,"22","pre",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,841.2,22.2,15,16,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","ambulation","#","yes","day","con_IUGR",58.9,18.17,6,86.42,12.66,6,"con_136","no","calorie-","calorie-.ACTIVITY","CR_act",0,44.5072286263703,31.010540143635,1980.8934,961.6536,-0.717466657677202,-0.662276914778955,0.585210266909986,24,0.342471056496857,-0.383378039846246,0.116625894239086,0.341505335593877
"comp_326","s_30","D_49","A_80","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",22,"43","lact",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,663.5,14.4,15,15,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","Total_activity","#","yes","day","con_PNGR",139.8,26.53,6,164.29,28.57,6,"con_135","no","calorie-","calorie-.ACTIVITY","CR_act",0,64.9849628760377,69.9819219513154,4223.0454,4897.4694,-0.36265536508194,-0.334758798537175,0.579368612032351,24,0.335667988608293,-0.161420329118535,0.0662542153658865,0.257398942045002
"comp_327","s_30","D_49","A_80","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",22,"43","lact",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,663.5,14.4,15,15,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","ambulation","#","yes","day","con_PNGR",79.27,15.4128,6,86.42,12.66,6,"con_136","no","calorie-","calorie-.ACTIVITY","CR_act",0,37.7534955075686,31.010540143635,1425.32642304,961.6536,-0.206964875925604,-0.191044500854403,0.578008398174764,24,0.334093708360556,-0.0863593836547227,0.0592651159840708,0.24344427695896
"comp_329","s_30","D_50","A_81","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",0,"43","pre+lact",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,664.1,11.9,15,15,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","Total_activity","#","yes","day","con_IPGR",160.2,36.74,6,164.29,28.57,6,"con_135","no","calorie-","calorie-.ACTIVITY","CR_act",0,89.994253149854,69.9819219513154,8098.9656,4897.4694,-0.0507371637697216,-0.0468343050182045,0.577389842526379,24,0.333379030252636,-0.0252101242839866,0.0828372126463607,0.287814545578156
"comp_330","s_30","D_50","A_81","Garg",2012,"Early postnatal caloric restriction protects","J046","rats","Sprague-Dawley","calorie","-",50,NA,"yes","no","yes","yes","Garg_rat_chow","Garg_rat_chow",0,"43","pre+lact",NA,NA,NA,"yes","single",22,"12",6,"yes","yes","m","","784.3",21,664.1,11.9,15,15,NA,NA,NA,NA,"",NA,NA,"control","yes","Garg_rat_chow",21,"yes","304","ACTIVITY","ACTIVITY","Photocell_device","10","ambulation","#","yes","day","con_IPGR",85.87,20.92,6,86.42,12.66,6,"con_136","no","calorie-","calorie-.ACTIVITY","CR_act",0,51.2433254190241,31.010540143635,2625.8784,961.6536,-0.0129861314771087,-0.0119871982865618,0.577352861719669,24,0.333336326935891,-0.00638460581939375,0.0808131468922824,0.284276532433267
