"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined","lnRR","lnRR_Var","lnRR_SE"
"comp_86","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_entries","#","yes","day","con_exp",2.6,0.36,15,3.38,0.32,8,"con_32","no","calorie-","calorie-.ANXIETY","CR_anx",0,1.39427400463467,0.905096679918781,1.944,0.8192,-0.622692886581596,0.600185914777442,0.447485651068097,23,0.200243407911839,0.262364264467491,0.028134869227268,0.167734520082385
"comp_87","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Closed_arm_entries","#","no","day","con_exp",9.78,0.97,15,6.25,0.45,8,"con_33","no","calorie-","calorie-.ANXIETY","CR_anx",0,3.75679384582119,1.27279220613579,14.1135,1.62,1.1191414727117,1.07869057610766,0.468370360144097,23,0.219370794261511,0.447758020298416,0.0150210699353047,0.1225604746046
"comp_88","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_time","sec","yes","day","con_exp",30.37,5.01,15,38.6,6.15,8,"con_34","no","calorie-","calorie-.ANXIETY","CR_anx",0,19.4036465644992,17.3948268171891,376.5015,302.58,-0.438747110080802,0.422888780800773,0.44263375489727,23,0.195924640974456,0.239796997413128,0.0525985015718585,0.229343632071742
"comp_89","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Closed_arm_time","sec","no","day","con_exp",230.55,6.86,15,229.3,10.29,8,"con_35","no","calorie-","calorie-.ANXIETY","CR_anx",0,26.5686657549829,29.1045151136383,705.894,847.0728,0.0455539358600583,0.0439074080578875,0.437849937885942,23,0.191712568106723,0.00543656878885586,0.00289918531805108,0.0538440834080317
"comp_90","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Ratio_Open_Closed_entries","#","yes","day","con_exp",0.31,0.06,15,0.55,0.5,8,"con_36","no","calorie-","calorie-.ANXIETY","CR_anx",0,0.232379000772445,1.4142135623731,0.054,2,-0.286310032194306,0.275961476813789,0.439863472776477,23,0.193479874682982,0.573345980747325,0.863907259139498,0.92946611511098
"comp_91","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","EPM",5,"Ratio_Open_Closed_time","#","yes","day","con_exp",0.14,0.02,15,0.18,0.04,8,"con_37","no","calorie-","calorie-.ANXIETY","CR_anx",0,0.0774596669241483,0.113137084989848,0.006,0.0128,-0.43994134506406,0.424039850664154,0.442659973637492,23,0.195947852260745,0.251314428280906,0.0697908793146888,0.264179634557036
"comp_97","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","Open_Field",5,"Defecation","#","no","day","con_exp",5.43,0.57,7,3.17,0.69,12,"con_43","no","calorie-","calorie-.ANXIETY","CR_anx",0,1.50807824730682,2.39023011444505,2.2743,5.7132,1.06543689158949,1.01773076211533,0.506610771077294,19,0.256654473371531,0.538207546056655,0.0583975196732561,0.241655787584854
"comp_98","s_08","D_14","A_19","Jaiswal",1996,"Behavioural effects of prenatal and posnatal","J002","rats","Charles_Foster","calorie","-",50,NA,"no","no","","","Brook_BondLipton","50%_Brook_BondLipton",1,22,"pre",NA,NA,NA,"no","",NA,NA,8,"yes","yes","both","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","","Brook_Bondlipton",0,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"Total_immobility","sec","no","day","con_exp",125.47,4.99,10,65.23,6.46,12,"con_44","no","calorie-","calorie-.ANXIETY","CR_anx",0,15.7797655242402,22.3780964337899,249.001,500.7792,3.06027794549203,2.94406485895436,0.632472355661955,22,0.400021280676582,0.654147200363604,0.0113894598719835,0.106721412434354
"comp_119","s_12","D_20","A_28","Levay",2008,"Anxiety-like behaviour in adult","J008","rats","Lister","calorie","-",75,NA,"yes","no","yes","no","Barastoc","25%_Barastoc",0,21,"pre",70,15,15,"yes","single",22,12,8,"yes","no","both","m_ind_f_group",292.58,NA,288.34,NA,12,12,70,NA,NA,NA,"",NA,NA,"control","yes","Barastoc",0,"yes",70,"ANXIETY","ANXIETY","EPM",5,"Open_arm_entries","%","yes","day","con_exp_G",44.06,4.74,12,39.32,4.74,12,"con_57","yes","calorie-","calorie-.ANXIETY","CR_anx",0,16.419841655753,16.419841655753,269.6112,269.6112,0.288675134594813,-0.278720819608785,0.409238180638776,48,0.167475888492535,-0.113819046095231,0.0261057225357261,0.161572654046798
"comp_120","s_12","D_20","A_28","Levay",2008,"Anxiety-like behaviour in adult","J008","rats","Lister","calorie","-",75,NA,"yes","no","yes","no","Barastoc","25%_Barastoc",0,21,"pre",70,15,15,"yes","single",22,12,8,"yes","no","both","m_ind_f_group",292.58,NA,288.34,NA,12,12,70,NA,NA,NA,"",NA,NA,"control","yes","Barastoc",0,"yes",70,"ANXIETY","ANXIETY","EPM",5,"Open_arm_duration","%","yes","day","con_exp_G",38.85,3.89,12,32.2,4.76,12,"con_58","yes","calorie-","calorie-.ANXIETY","CR_anx",0,13.4753552828859,16.4891236880557,181.5852,271.8912,0.441630742926927,-0.426402096619102,0.410561337632205,48,0.168560611958345,-0.187741624263294,0.0318783085743403,0.178544976334649
