"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined"
"comp_99","s_09","D_15","A_20","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","coconut_Nuvilab_rat_chow",-14,"43","pre+lact",60,8,5,"yes","",23,"12",10,"yes","no","m","","393.45",2.36,384.03,7.07,9,10,90,7.37,0.22,6.96,"0.11",9,10,"control","","Nuvilab_rat_chow",21,"","90","ACTIVITY","ACTIVITY","Open_Field","5","square_crossed","#","yes","day","con_coconut",39.63,6.1,10,24.09,3.66,9,"con_45","no","calorie+","calorie+.ACTIVITY","OB_act",0,19.2898937270271,10.98,372.1,120.5604,0.975588009386279,0.931904964189879,0.475483262454725,29,0.226084332874589
"comp_103","s_09","D_16","A_21","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","fish_oil_Nuvilab_rat_chow",-14,"43","pre+lact",60,8,5,"yes","",23,"12",10,"yes","no","m","","393.45",2.36,367.54,11.78,9,10,90,7.37,0.22,7.43,"0.16",9,10,"control","","Nuvilab_rat_chow",21,"","90","ACTIVITY","ACTIVITY","Open_Field","5","square_crossed","#","yes","day","con_fish_oil",34.85,4.06,10,24.09,3.66,9,"con_45","no","calorie+","calorie+.ACTIVITY","OB_act",0,12.8388473002836,10.98,164.836,120.5604,0.896665348042124,0.856516153353671,0.473032483491287,29,0.223759730437935
"comp_146","s_13","D_23","A_31","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"43","pre+lact",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-8",21,"yes","75","ANXIETY","ACTIVITY","EPM","5","T_dist_moved","m","yes","night","CTR_MO",18.14,0.89,6,19.22,2.09,6,"con_64","no","calorie+","calorie+.ACTIVITY","OB_act",0,2.18004587107703,5.11943356241684,4.7526,26.2086,-0.274492107035756,-0.253377329571467,0.578507419844752,24,0.334670834815433
"comp_147","s_13","D_23","A_31","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"43","pre+lact",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-9",21,"yes","75","ANXIETY","ACTIVITY","Open_Field","60","Total_distance","m","yes","night","CTR_MO",56.6,10.8,6,44.3,4.8,6,"con_65","no","calorie+","calorie+.ACTIVITY","OB_act",0,26.4544892220583,11.7575507653593,699.84,138.24,0.600865641304563,0.554645207358058,0.582874187862135,24,0.339742318875943
"comp_157","s_13","D_24","A_32","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"-30","pregestation",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-15",21,"yes","75","ANXIETY","ACTIVITY","EPM","5","T_dist_moved","m","yes","night","CTR_PG",14.63,1.64,6,19.22,2.09,6,"con_64","no","calorie+","calorie+.ACTIVITY","OB_act",0,4.01716317816441,5.11943356241684,16.1376,26.2086,-0.997517356911469,-0.920785252533664,0.592449812946272,24,0.350996780860073
"comp_158","s_13","D_24","A_32","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"-30","pregestation",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-15",21,"yes","75","ANXIETY","ACTIVITY","Open_Field","60","Total_distance","m","yes","night","CTR_PG",50.5,5,6,44.3,4.8,6,"con_65","no","calorie+","calorie+.ACTIVITY","OB_act",0,12.2474487139159,11.7575507653593,150,138.24,0.516451523344132,0.476724483086891,0.58143619298779,24,0.338068046516135
"comp_168","s_13","D_25","A_33","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"0","pregestation",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-15",21,"yes","75","ANXIETY","ACTIVITY","EPM","5","T_dist_moved","m","yes","night","CTR_G",21.34,3.88,6,19.22,2.09,6,"con_64","no","calorie+","calorie+.ACTIVITY","OB_act",0,9.50402020199873,5.11943356241684,90.3264,26.2086,0.277729919648392,0.256366079675439,0.578534851420814,24,0.334702574308503
"comp_169","s_13","D_25","A_33","Rodriguez",2012,"Maternal obesity in the rat programs","J022","rats","Wistar","calorie","+",5,1.225,"no","no","yes","yes","Zeigler_Rodent_RQ22-5","Hhigh_fat_Rodriguez",-99,"0","pregestation",120,12,12,"yes","",22,"12",10,"yes","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Zeigler_Rodent_RQ22-15",21,"yes","75","ANXIETY","ACTIVITY","Open_Field","60","Total_distance","m","yes","night","CTR_G",48.5,4.5,6,44.3,4.8,6,"con_65","no","calorie+","calorie+.ACTIVITY","OB_act",0,11.0227038425243,11.7575507653593,121.5,138.24,0.36854868854486,0.340198789426024,0.579434624158306,24,0.335744483673478
"comp_251","s_23","D_38","A_57","Raygada",2005,"High maternal intake of polyunsaturated","J014","mice","Balb/c","calorie","+",2.8,NA,"no","yes","yes","yes","AIN93_isocal_16%fat","PUFA_isocal_43%fat",-7,"22","pre",49,8,8,"no","single",NA,"",NA,"","no","m","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Purina_Chow_5001_12%fat",0,"yes","90","ACTIVITY","ACTIVITY","Open_Field","3","square_crossed","#","yes","day","con_Balb/c_m",118.13,10.47,8,106.19,6.7,8,"con_101","no","calorie+","calorie+.ACTIVITY","OB_act",0,29.6136319960926,18.9504617357995,876.9672,359.12,0.480280296437839,0.454083189359412,0.507310539683071,16,0.257363983673529
"comp_254","s_23","D_38","A_60","Raygada",2005,"High maternal intake of polyunsaturated","J014","mice","Balb/c","calorie","+",2.8,NA,"no","yes","yes","yes","AIN93_isocal_16%fat","PUFA_isocal_43%fat",-7,"22","pre",49,8,8,"no","single",NA,"",NA,"","no","f","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Purina_Chow_5001_12%fat",0,"yes","90","ACTIVITY","ACTIVITY","Open_Field","3","square_crossed","#","yes","day","con_Balb/c_f",115.89,8.22,8,109.91,4.49,8,"con_103","no","calorie+","calorie+.ACTIVITY","OB_act",0,23.2496709654137,12.6996377901104,540.5472,161.2808,0.319227896671631,0.301815465944088,0.503242790576528,16,0.253253306267252
