"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined","lnRR","lnRR_Var","lnRR_SE"
"comp_100","s_09","D_15","A_20","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","coconut_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,384.03,7.07,9,10,90,7.37,0.22,6.96,"0.11",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"immobility","sec","yes","day","con_coconut",143.7,17.02,10,134.09,17.02,9,"con_46","no","calorie+","calorie+.ANXIETY","OB_anx",0,53.8219657760658,51.06,2896.804,2607.1236,0.182907193202322,-0.17471731887983,0.460040676349254,29,0.211637423895879,-0.0692165767934285,0.0301394592991232,0.173607198292937
"comp_101","s_09","D_15","A_20","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","coconut_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,384.03,7.07,9,10,90,7.37,0.22,6.96,"0.11",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"swimming","sec","no","day","con_coconut",87.68,15.96,10,74.87,13.83,9,"con_47","no","calorie+","calorie+.ANXIETY","OB_anx",0,50.4699514562873,41.49,2547.216,1721.4201,0.275716288210375,0.26337078276812,0.46076788631925,29,0.212307045063109,0.157940546957112,0.0672548454308853,0.259335391782312
"comp_102","s_09","D_15","A_20","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","coconut_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,384.03,7.07,9,10,90,7.37,0.22,6.96,"0.11",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"climbing","sec","no","day","con_coconut",72.08,9.57,10,92.25,14.89,9,"con_48","no","calorie+","calorie+.ANXIETY","OB_anx",0,30.2629972078114,44.67,915.849,1995.4089,-0.534526981420642,-0.510592937476434,0.464333961123354,29,0.215606027452504,-0.246725669620554,0.0436805803624975,0.208998996080119
"comp_104","s_09","D_16","A_21","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","fish_oil_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,367.54,11.78,9,10,90,7.37,0.22,7.43,"0.16",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"immobility","sec","yes","day","con_fish_oil",159.7,11.7,10,134.09,17.02,9,"con_46","no","calorie+","calorie+.ANXIETY","OB_anx",0,36.99864862397,51.06,1368.9,2607.1236,0.579715485576139,-0.553758075774222,0.465186140921764,29,0.216398145705683,-0.174785838929416,0.021478516576361,0.146555506810086
"comp_105","s_09","D_16","A_21","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","fish_oil_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,367.54,11.78,9,10,90,7.37,0.22,7.43,"0.16",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"swimming","sec","no","day","con_fish_oil",83.46,11.7,10,74.87,13.83,9,"con_47","no","calorie+","calorie+.ANXIETY","OB_anx",0,36.99864862397,41.49,1368.9,1721.4201,0.219264552559702,0.209446736773446,0.46029061996461,29,0.211867454827405,0.108614198920813,0.0537739168942876,0.231892037151532
"comp_106","s_09","D_16","A_21","Borsonelo",2011,"Effect of fish oil and ","J031","rats","Wistar","calorie","+",2.5,2.54,"no","no","yes","yes","Nuvilab_rat_chow","fish_oil_Nuvilab_rat_chow",-14,43,"pre+lact",60,8,5,"yes","",23,12,10,"yes","no","m","",393.45,2.36,367.54,11.78,9,10,90,7.37,0.22,7.43,"0.16",9,10,"control","","Nuvilab_rat_chow",21,"",90,"ANXIETY","ANXIETY","Forced_swim_test",5,"climbing","sec","no","day","con_fish_oil",58.29,5.32,10,92.25,14.89,9,"con_48","no","calorie+","calorie+.ANXIETY","OB_anx",0,16.8233171520958,44.67,283.024,1995.4089,-1.02916075630388,-0.983078931394751,0.477256683445131,29,0.227773941893046,-0.459071730863178,0.0343827455165291,0.18542584910559
"comp_111","s_11","D_18","A_24","Bilbo",2010,"Enduring consequences of maternal obesity","J010","rats","Sprague-Dawley","calorie","+",8.1,1.361038961,"yes","no","yes","yes","Research_diets_D12450B","Research_diets_D12492",-49,43,"pre+lact",60,NA,NA,"yes","pair",22,12,12,"yes","no","f","",300,4.97,308.29,11.6,8,8,90,NA,NA,NA,"",8,8,"control","yes","Rat_Chow_Lab_Diet_5001",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"time_in_open_arm","sec","yes","day","LFD_SFD_f",41.75,12.37,8,32.47,10.82,8,"con_53","no","calorie+","calorie+.ANXIETY","OB_anx",0,34.9876435331104,30.6035814897538,1224.1352,936.5792,0.282334721487341,-0.26693464576985,0.501482263418331,24,0.251484460523172,-0.25138286518211,0.198828920708731,0.445902366789784
"comp_112","s_11","D_18","A_24","Bilbo",2010,"Enduring consequences of maternal obesity","J010","rats","Sprague-Dawley","calorie","+",8.1,1.361038961,"yes","no","yes","yes","Research_diets_D12450B","Research_diets_D06061202",-49,43,"pre+lact",60,NA,NA,"yes","pair",22,12,12,"yes","no","f","",300,4.97,308.29,11.6,8,8,90,NA,NA,NA,"",8,8,"control","yes","Rat_Chow_Lab_Diet_5001",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"time_in_closed_arm","sec","no","day","LFD_SFD_f",227.32,21.65,8,244.33,13.92,8,"con_54","no","calorie+","calorie+.ANXIETY","OB_anx",0,61.235447250755,39.371705576467,3749.78,1550.1312,-0.330434218551443,-0.312410533903182,0.502029222707156,24,0.252033340451951,-0.0721610541317583,0.0123165171518256,0.110979805153125
"comp_113","s_11","D_19","A_25","Bilbo",2010,"Enduring consequences of maternal obesity","J010","rats","Sprague-Dawley","calorie","+",8.1,1.361038961,"yes","no","yes","yes","Research_diets_D12450B","Research_diets_D06061202",-49,43,"pre+lact",60,NA,NA,"yes","pair",22,12,12,"yes","no","f","",300,4.97,303.31,6.63,8,8,90,NA,NA,NA,"",8,8,"control","yes","Rat_Chow_Lab_Diet_5001",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"time_in_open_arm","sec","yes","day","LFD_TFD_f",13.92,4.64,8,32.47,10.82,8,"con_53","no","calorie+","calorie+.ANXIETY","OB_anx",0,13.1239018588223,30.6035814897538,172.2368,936.5792,-0.787823932629143,0.744851718122099,0.511427823230981,24,0.26155841837478,0.846989931208481,0.222153793518003,0.471331935601655
"comp_114","s_11","D_19","A_25","Bilbo",2010,"Enduring consequences of maternal obesity","J010","rats","Sprague-Dawley","calorie","+",8.1,1.361038961,"yes","no","yes","yes","Research_diets_D12450B","Research_diets_D06061202",-49,43,"pre+lact",60,NA,NA,"yes","pair",22,12,12,"yes","no","f","",300,4.97,303.31,6.63,8,8,90,NA,NA,NA,"",8,8,"control","yes","Rat_Chow_Lab_Diet_5001",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"time_in_closed_arm","sec","no","day","LFD_TFD_f",273.71,7.73,8,244.33,13.92,8,"con_54","no","calorie+","calorie+.ANXIETY","OB_anx",0,21.8637416742881,39.371705576467,478.0232,1550.1312,0.922606016217148,0.872282051696212,0.515607974016099,24,0.265851582868987,0.11354938117219,0.00404340960321208,0.0635878101778326
"comp_115","s_11","D_18","A_26","Bilbo",2010,"Enduring consequences of maternal obesity","J010","rats","Sprague-Dawley","calorie","+",8.1,1.361038961,"yes","no","yes","yes","Research_diets_D12450B","Research_diets_D06061202",-49,43,"pre+lact",60,NA,NA,"yes","pair",22,12,12,"yes","no","m","",429.28,9.94,560.22,16.57,8,8,90,NA,NA,NA,"",8,8,"control","yes","Rat_Chow_Lab_Diet_5001",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"time_in_open_arm","sec","yes","day","LFD_SFD_m",18.56,10.82,8,77.32,24.74,8,"con_55","no","calorie+","calorie+.ANXIETY","OB_anx",0,30.6035814897538,69.9752870662207,936.5792,4896.5408,-1.08804367709042,1.02869584015821,0.52158043346558,24,0.272046148574142,1.42694392698208,0.442238980965854,0.665010511921318
