"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined"
"comp_74","s_06","D_12","A_15","Nollan",2001,"Lack of effect of protein ","J039","rats","Wistar","protein","-",0,NA,"no","no","yes","yes","Nolan_control","TD_93328_Harland_Teklad",1,"22","pre",NA,NA,NA,"no","",NA,"14",NA,"yes","yes","m","group","384.1",4.47,337.9,4.2,NA,NA,84,6.7,0.8,3.9,"0.5",NA,NA,"control","yes","Nolan_control",0,"yes","122","ANXIETY","EXPLORATION","Open_Field","10","rearings","#","yes","day","con_exp_4mo",18.32,5.55,7,20.6,3.27,7,"con_23","no","protein-","protein-.EXPLORATION","PR_exp",0,14.6839197764085,8.65160678718121,215.6175,74.8503,-0.189191163095014,-0.177115131408098,0.53574374420506,14,0.287021359454857
"comp_183","s_15","D_28","A_36","Perreira",2009,"Effect of early malnutrition and environmental ","J008","rats","Wistar","protein","-",38,NA,"no","yes","yes","yes","Perreira_isocal_16%protein","Perreira_isocal_6%protein",22,"43","lact",90,NA,NA,"no","",24,"12",8,"yes","no","m","single","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Perreira_isocal_16%protein",35,"yes","28","EXPLORATION","EXPLORATION","EPM","5","Frequency_segment_2","#","yes","day","CNS_MNS",0.34,0.18,14,0,0,13,"con_79","no","protein-","protein-.EXPLORATION","PR_exp",0,0.673498329619309,0,0.4536,0,0.700068799068818,0.678854593036429,0.396949013755396,27,0.157568519521381
"comp_184","s_15","D_28","A_36","Perreira",2009,"Effect of early malnutrition and environmental ","J008","rats","Wistar","protein","-",38,NA,"no","yes","yes","yes","Perreira_isocal_16%protein","Perreira_isocal_6%protein",22,"43","lact",90,NA,NA,"no","",24,"12",8,"yes","no","m","single","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"control","yes","Perreira_isocal_16%protein",35,"yes","28","EXPLORATION","EXPLORATION","EPM","5","Frequency_segment_3","#","yes","day","CNS_MNS",0.42,0.21,14,0.13,0.1,13,"con_80","no","protein-","protein-.EXPLORATION","PR_exp",0,0.785748051222528,0.360555127546399,0.6174,0.13,0.468322215314004,0.454130633031762,0.390482190360591,27,0.152476340988805
"comp_201","s_17","D_30","A_39","Watkins",2008,"Adaptive response by mouse early","J043","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",0,"22","pre",56,19,19,"yes","single",NA,"12",6,"yes","no","m","group","40.82",0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,"0.01",92,86,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_LPD_males",17.09,1.78,55,15.3,1.66,46,"con_84","no","protein-","protein-.EXPLORATION","PR_exp",0,13.2008333070303,11.2586677719879,174.262,126.7576,0.144869670125974,0.143769394150334,0.199960877214211,163,0.0399843524162767
"comp_206","s_17","D_30","A_40","Watkins",2008,"Adaptive response by mouse early","J043","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",0,"22","pre",56,19,19,"yes","single",NA,"12",6,"yes","no","f","group","31.85",0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,"0.01",96,87,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_LPD_females",16.95,1.18,52,14.14,1.76,50,"con_89","no","protein-","protein-.EXPLORATION","PR_exp",0,8.50910101009501,12.4450793488832,72.4048,154.88,0.264556111867169,0.26256696816892,0.198639246358417,152,0.0394575501938397
"comp_211","s_17","D_31","A_41","Watkins",2008,"Adaptive response by mouse early","J043","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",0,"3.5","pre",56,19,19,"yes","single",NA,"12",6,"yes","no","m","group","40.82",0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,"0.04",92,84,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_emb_LPD_males",17.7,2.13,62,15.3,1.66,46,"con_84","no","protein-","protein-.EXPLORATION","PR_exp",0,16.7716367716452,11.2586677719879,281.2878,126.7576,0.163418383903321,0.162259388272801,0.194804835062308,163,0.0379489237636528
"comp_216","s_17","D_31","A_42","Watkins",2008,"Adaptive response by mouse early","J043","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",0,"3.5","pre",56,19,19,"yes","single",NA,"12",6,"yes","no","f","group","31.85",0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,"0.04",96,107,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_emb_LPD_females",22.7,2.06,50,14.14,1.76,50,"con_89","no","protein-","protein-.EXPLORATION","PR_exp",0,14.5663996924429,12.4450793488832,212.18,154.88,0.631859082274588,0.627011058625423,0.203207364820353,152,0.0412932331172321
"comp_221","s_18","D_32","A_43","Watkins",2008,"Low protein diet fed exclusively","J044","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",-3.5,"0","pregestation",54.5,19,19,"no","single",NA,"12",6,"yes","no","m","group","37.3",NA,37.3,NA,60,52,14,1.26,0.02,1.37,"0.01",82,96,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_LPD_males",14.24,1.46,52,17.07,1.78,60,"con_94","no","protein-","protein-.EXPLORATION","PR_exp",0,10.5282097243548,13.7878207124984,110.8432,190.104,-0.228526367867685,-0.226964684260389,0.190083102225141,112,0.0361315857515332
"comp_226","s_18","D_32","A_44","Watkins",2008,"Low protein diet fed exclusively","J044","mice","MF1","protein","-",50,NA,"no","yes","yes","yes","Sigma_Special_Diet_Service_Casein_18%","Sigma_Special_Diet_Service_Casein_9%",-3.5,"0","pregestation",54.5,19,19,"no","single",NA,"12",6,"yes","no","f","group","32.23",0.64,33.63,0.51,54,57,14,1.26,0.02,1.34,"0.01",101,105,"control","yes","Sigma_Special_Diet_Service_Casein_18%",0,"yes","98","ANXIETY","EXPLORATION","Open_Field","3","rears","#","yes","day","NPD_LPD_females",12.25,1.29,57,19.08,1.55,54,"con_99","no","protein-","protein-.EXPLORATION","PR_exp",0,9.73928642149927,11.3901273039418,94.8537,129.735,-0.645909938010479,-0.641455386713855,0.194807167107312,111,0.0379498323563763
"comp_442","s_42","D_80","A_111","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",0,"7","pre",NA,10,10,"yes","",NA,"12",8,"yes","no","m","","771.05",53.48,689.84,42.78,18,12,396,5.46,0.47,5.49,"0.62",71,38,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPE_day_m",244.19,41.86,4,341.86,97.68,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,83.72,218.419120042179,7009.0384,47706.912,-0.561424151511824,-0.499043690232733,0.672835051534542,46,0.45270700657349
"comp_445","s_42","D_81","A_112","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",8,"14","pre",NA,10,8,"yes","",NA,"12",8,"yes","no","m","","774.05",53.48,721.93,48.13,18,13,396,5.96,0.6,5.49,"0.62",71,64,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPM_day_m",293.02,34.88,5,341.86,97.68,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,77.9940510551927,218.419120042179,6083.072,47706.912,-0.29781045872537,-0.268990091751947,0.633076989526591,46,0.400786474668051
"comp_448","s_42","D_82","A_113","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",15,"22","pre",NA,10,10,"yes","",NA,"12",8,"yes","no","m","","777.05",53.48,748.66,53.48,18,21,396,5.47,0.39,5.49,"0.62",71,82,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPL_day_m",306.98,41.86,5,341.86,97.68,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,93.6018055381412,218.419120042179,8761.298,47706.912,-0.207581890814755,-0.187493320735907,0.63275754118572,46,0.400382105927398
"comp_451","s_42","D_83","A_114","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",0,"22","pre",NA,10,11,"yes","",NA,"12",8,"yes","no","m","","780.05",53.48,721.93,48.13,18,18,396,5.76,0.42,5.49,"0.62",71,86,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPA_day_m",251.16,69.77,5,341.86,97.68,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,156.01046279016,218.419120042179,24339.2645,47706.912,-0.477877756397655,-0.431631521907559,0.634054463532153,46,0.402025062725046
"comp_454","s_42","D_80","A_115","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",0,"7","pre",NA,10,10,"yes","",NA,"12",8,"yes","no","f","","481.92",4738.3,396.75,25.53,19,17,396,5.31,0.57,5.36,"0.55",73,43,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPE_day_f",383.72,118.61,5,376.74,48.84,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,265.22002281125,109.20956002109,70341.6605,11926.728,0.0344154874634169,0.0310849564185701,0.63246383531698,46,0.400010502983865
"comp_457","s_42","D_81","A_116","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",8,"14","pre",NA,10,8,"yes","",NA,"12",8,"yes","no","f","","382.98",25.53,399.75,25.53,19,15,396,5.64,0.58,5.36,"0.55",73,52,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPM_day_f",320.93,41.86,5,376.74,48.84,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,93.6018055381412,109.20956002109,8761.298,11926.728,-0.548741105264832,-0.495637127335977,0.634562980068839,46,0.402670175673846
"comp_460","s_42","D_82","A_117","Bellinger",2006,"Exposure to undernutrition in fetal","J050","rats","Wistar","protein","-",50,NA,"no","","yes","yes","CRMX_special_Diet_Cambridge_18%Casein","CRMX_special_Diet_Cambridge_9%Casein",15,"22","pre",NA,10,10,"yes","",NA,"12",8,"yes","no","f","","411.7",25.62,402.75,25.53,19,15,396,5.16,0.4,5.36,"0.55",73,73,"control","yes","B&K_Universal_rodent_diet_20%protein",28,"yes","396","ACTIVITY","EXPLORATION","Photocell_device","30","rearing","sec","yes","day","con_LPL_day_f",237.21,20.93,7,376.74,48.84,5,"con_159","no","protein-","protein-.EXPLORATION","PR_exp",0,55.3755749405819,109.20956002109,3066.4543,11926.728,-1.71612273312612,-1.58411329211641,0.608385890707651,46,0.370133392012142
