Use?,Why?,comp_ID,study_ID,dam_ID,animal_ID,author,year,title,journal,species,strain,manip_type,manip_direction,nom_manip_val,,,,nom_manip_val2,,,,intake_reported,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodyweight_mean_contr,bodyweight_SE_contr,bodyweight_mean_exp,bodyweight_SE_exp,bw_N_contr,bw_N_exp,bw_dayPG,birthweight_mean_contr,birthweight_SE_contr,birthweight_mean_exp,birthweight_SE_exp,birthweight_N_contr,birthweight_N_exp,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,author's behaviour,my behaviour,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,d,se,percentage,Data_source,measure_comments,SE_imputed,Comments,suppl_files,weight,weightSE,birth,birthSE,initial_d,intialSE,final_d,finalSE
y/n,,,,expt dams,,,,First five words,,,,,,,exp,control,manip_parameter,,exp2,control2,manip_parameter2,,,,,,,,NB. Parturition date set at 22,,,,,,,,hours of light,,,,,during the test period,weight as close to testing as possible,,,,,,,,,,,,,,,nominal level,,,start of behavioural trials,,,,(min),,,is a high number better,,,,,,,,,,,,,,,,,,,,,,,,,
yes,,comp_01,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-5,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-5,1,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-rc,13.9,1.28,8,11.97,1.28,8,con_01,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_284",,,,,,,,,
yes,,comp_02,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-6,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-6,21,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-cr,13.9,0.96,8,11.97,1.28,8,con_01,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_285",,,,,,,,,
yes,,comp_03,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-7,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-7,21,yes,90,ANXIETY,ACTIVITY,EPM,5,T_dist_moved,m,yes,night,cc-rr,10.69,0.32,8,11.97,1.28,8,con_01,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_286",,,,,,,,,
yes,,comp_04,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-8,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-8,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-rc,3.59,0.7,8,5,0.89,8,con_02,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_287",,,,,,,,,
yes,,comp_05,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-9,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-9,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-cr,4.29,0.7,8,5,0.89,8,con_02,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_288",,,,,,,,,
yes,,comp_06,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-10,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-10,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,night,cc-rr,3.2,0.48,8,5,0.89,8,con_02,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_289",,,,,,,,,
yes,,comp_07,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-11,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-11,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-rc,27.77,5.11,8,51.7,5.1,8,con_03,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_290",,,,,,,,,
yes,,comp_08,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-12,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-12,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-cr,50.11,8.62,8,51.7,5.1,8,con_03,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_291",,,,,,,,,
yes,,comp_09,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-13,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-13,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,night,cc-rr,28.08,5.11,8,51.7,5.1,8,con_03,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_292",,,,,,,,,
yes,,comp_10,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-14,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-14,1,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-rc,0.8,0.19,8,1.69,0.21,8,con_04,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_293",,,,,,,,,
yes,,comp_11,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-15,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-15,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-cr,1.69,0.3,8,1.69,0.21,8,con_04,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_294",,,,,,,,,
yes,,comp_12,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-16,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-16,21,yes,90,ANXIETY,ANXIETY,EPM,5,Open_arm_dist,m,yes,night,cc-rr,0.8,0.19,8,1.69,0.21,8,con_04,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_295",,,,,,,,,
yes,,comp_13,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-17,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-17,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-rc,32.1,4.46,8,54.84,5.35,8,con_05,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_296",,,,,,,,,
yes,,comp_14,s_01,D_02,A_02,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-18,Zeiger_Rodent_RQ22-5_LP_isoc,22,43,lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,190,6,10,10,90,5.6,0.05,5.6,0.05,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-18,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-cr,39.23,6.24,8,54.84,5.35,8,con_05,,,no,Fig1,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_297",,,,,,,,,
yes,,comp_15,s_01,D_03,A_03,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-19,Zeiger_Rodent_RQ22-5_LP_isoc,1,43,pre+lact,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,199,10,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-19,21,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Center zone entries,#,yes,night,cc-rr,41.46,4.46,8,54.84,5.35,8,con_05,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_298",,,,,,,,,
yes,,comp_16,s_01,D_01,A_01,Reyes-Castro,2012,Maternal protein restriction in the,J022,rats,Wistar,protein,-,50%,10%,20%,protein content,,,,,no,yes,yes,yes,Zeiger_Rodent_RQ22-20,Zeiger_Rodent_RQ22-5_LP_isoc,1,22,pre,122,20,20,yes,single,22,12,10,yes,no,f,group,209,4,200,7,10,10,90,5.6,0.05,5.1,0.04,16,16,20% casein control,yes,Zeiger_Rodent_RQ22-20,1,yes,90,EXPLORATION,ANXIETY,Open_Field,60,Border_zone_entries,#,no,night,cc-rc,32.76,4.04,8,55.64,5.83,8,con_06,,,no,Fig.2,,no,"learning data extracted by Katie. details of diet can be found in Zambrano et al. 2005. A maternal low protein diet.... The Journal of Physiology, 563: 275_299",,,,,,,,,
