"comp_ID","study_ID","dam_ID","animal_ID","author","year","title","journal","species","strain","manip_type","manip_direction","nom_manip_val","nom_manip_val2","intake_reported","vitmin_eql","adlib_con","adlib_exp","diet_con","diet_exp","dam_diet_start_dPC","dam_diet_end_dPC","diet_label","age_mating","n_con_dam","n_exp_dam","multi_use_con","dam_housing","temperature","photoperiod","litter_size","litter_size_equalized","crossfostered","sex","housing","bodyweight_mean_contr","bodyweight_SE_contr","bodyweight_mean_exp","bodyweight_SE_exp","bw_N_contr","bw_N_exp","bw_dayPG","birthweight_mean_contr","birthweight_SE_contr","birthweight_mean_exp","birthweight_SE_exp","birthweight_N_contr","birthweight_N_exp","offspring_diet","offspring_con_adlib","offspring_diet_level","offspring_diet_end_dPP","post_diet_adlib","response_age_dPP","author.s.behaviour","my.behaviour","response_test","time_trial","measure","unit","high_better","night.day","comparison","exp_mean","exp_se","exp_n","con_mean","con_se","con_n","con_ID","percentage","treatment","set","set2","Missing","exp_sd","con_sd","varianceoftreatment","varianceofcontrols","d","H.d","SE.d","N_total","H.d_Var_combined","lnRR","lnRR_Var","lnRR_SE"
"comp_01","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-5","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-5",1,"yes",90,"ANXIETY","ACTIVITY","EPM",5,"T_dist_moved","m","yes","night","cc-rc",13.9,1.28,8,11.97,1.28,8,"con_01","no","protein-","protein-.ACTIVITY","PR_act",0,3.62038671967512,3.62038671967512,13.1072,13.1072,0.53309222175392,0.504014464203707,0.503953596886139,32,0.253969227814477,0.149485320566764,0.0199147730584567,0.141119711799793
"comp_02","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-6","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-6",21,"yes",90,"ANXIETY","ACTIVITY","EPM",5,"T_dist_moved","m","yes","night","cc-cr",13.9,0.96,8,11.97,1.28,8,"con_01","no","protein-","protein-.ACTIVITY","PR_act",0,2.71529003975634,3.62038671967512,7.3728,13.1072,0.603125,0.570227272727273,0.505055057991236,32,0.255080611602531,0.149485320566764,0.0162048201574682,0.127298154572123
"comp_03","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-7","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-7",21,"yes",90,"ANXIETY","ACTIVITY","EPM",5,"T_dist_moved","m","yes","night","cc-rr",10.69,0.32,8,11.97,1.28,8,"con_01","no","protein-","protein-.ACTIVITY","PR_act",0,0.905096679918781,3.62038671967512,0.8192,13.1072,-0.485071250072666,-0.458612818250521,0.503275609710147,32,0.25328633932912,-0.113094794532928,0.0123309560956816,0.111044838221691
"comp_04","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-8","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-8",1,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_entries","#","yes","night","cc-rc",3.59,0.7,8,5,0.89,8,"con_02","no","protein-","protein-.ANXIETY","PR_anx",0,1.97989898732233,2.51730014102411,3.92,6.3368,-0.622627311269581,0.588665821563968,0.505385487917973,32,0.255414491398087,0.331285709933913,0.0697035684391027,0.264014333775844
"comp_05","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-9","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-9",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_entries","#","yes","night","cc-cr",4.29,0.7,8,5,0.89,8,"con_02","no","protein-","protein-.ANXIETY","PR_anx",0,1.97989898732233,2.51730014102411,3.92,6.3368,-0.313521553901704,0.296420378234338,0.501371011587112,32,0.251372891259884,0.153151179494175,0.0583085021489777,0.241471534862761
"comp_06","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-10","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-10",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_entries","#","yes","night","cc-rr",3.2,0.48,8,5,0.89,8,"con_02","no","protein-","protein-.ANXIETY","PR_anx",0,1.35764501987817,2.51730014102411,1.8432,6.3368,-0.890042717581467,0.841494932986115,0.510944494940517,32,0.26106427691002,0.446287102628419,0.054184,0.232774569057704
"comp_07","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-11","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-11",1,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_time","sec","yes","night","cc-rc",27.77,5.11,8,51.7,5.1,8,"con_03","no","protein-","protein-.ANXIETY","PR_anx",0,14.453262607453,14.4249783362056,208.8968,208.08,-1.6573023660844,1.56690405520707,0.536993777871081,32,0.288362317472256,0.621501480195675,0.0435912808651063,0.208785250592819
"comp_08","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-12","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-12",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_time","sec","yes","night","cc-cr",50.11,8.62,8,51.7,5.1,8,"con_03","no","protein-","protein-.ANXIETY","PR_anx",0,24.3810418153122,14.4249783362056,594.4352,208.08,-0.0793753199187258,0.075045757014068,0.500087990158448,32,0.250087997900716,0.0312371925427502,0.0393224547384864,0.198298902514579
"comp_09","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-13","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-13",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_time","sec","yes","night","cc-rr",28.08,5.11,8,51.7,5.1,8,"con_03","no","protein-","protein-.ANXIETY","PR_anx",0,14.453262607453,14.4249783362056,208.8968,208.08,-1.63583292465163,1.54660567421609,0.536073530280557,32,0.287374829867459,0.610400202356773,0.0428477813234331,0.206997056315864
"comp_10","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-14","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-14",1,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_dist","m","yes","night","cc-rc",0.8,0.19,8,1.69,0.21,8,"con_04","no","protein-","protein-.ANXIETY","PR_anx",0,0.537401153701776,0.5939696961967,0.2888,0.3528,-1.57134962719085,1.48563964752589,0.533372600215788,32,0.284486330660951,0.747872080249192,0.0718468858320787,0.268042694047196
"comp_11","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-15","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-15",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_dist","m","yes","night","cc-cr",1.69,0.3,8,1.69,0.21,8,"con_04","no","protein-","protein-.ANXIETY","PR_anx",0,0.848528137423857,0.5939696961967,0.72,0.3528,0,0,0.5,32,0.25,0,0.0469521375301985,0.216684419214208
"comp_12","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-16","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-16",21,"yes",90,"ANXIETY","ANXIETY","EPM",5,"Open_arm_dist","m","yes","night","cc-rr",0.8,0.19,8,1.69,0.21,8,"con_04","no","protein-","protein-.ANXIETY","PR_anx",0,0.537401153701776,0.5939696961967,0.2888,0.3528,-1.57134962719085,1.48563964752589,0.533372600215788,32,0.284486330660951,0.747872080249192,0.0718468858320787,0.268042694047196
"comp_13","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-17","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-17",1,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Center zone entries","#","yes","night","cc-rc",32.1,4.46,8,54.84,5.35,8,"con_05","no","protein-","protein-.ANXIETY","PR_anx",0,12.614784976368,15.1320851173921,159.1328,228.98,-1.63239958299065,1.54335960573662,0.535927334052555,32,0.287218107384679,0.535563824558143,0.0288218248461533,0.169769917376882
"comp_14","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-18","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-18",21,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Center zone entries","#","yes","night","cc-cr",39.23,6.24,8,54.84,5.35,8,"con_05","no","protein-","protein-.ANXIETY","PR_anx",0,17.6493852584162,15.1320851173921,311.5008,228.98,-0.949571705761931,0.897776885447644,0.51243907162285,32,0.262593802125689,0.334978094472653,0.0348179776885605,0.186595760103386
"comp_15","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-19","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-19",21,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Center zone entries","#","yes","night","cc-rr",41.46,4.46,8,54.84,5.35,8,"con_05","no","protein-","protein-.ANXIETY","PR_anx",0,12.614784976368,15.1320851173921,159.1328,228.98,-0.960488408989222,0.908098132135265,0.512723155952416,32,0.262885034649806,0.27969074768648,0.0210893480327358,0.145221720251262
"comp_16","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-20","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-20",1,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Border_zone_entries","#","no","night","cc-rc",32.76,4.04,8,55.64,5.83,8,"con_06","no","protein-","protein-.ANXIETY","PR_anx",0,11.4268455839746,16.4897301372703,130.5728,271.9112,-1.61286013539935,-1.52488594619575,0.535100416231987,32,0.286332455451645,-0.529694108070374,0.0261871015250111,0.161824292135054
"comp_17","s_01","D_02","A_02","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-21","Zeiger_Rodent_RQ22-5_LP_isoc",22,43,"lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,190,6,10,10,90,5.6,0.05,5.6,"0.05",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-21",21,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Border_zone_entries","#","no","night","cc-cr",39.49,6.28,8,55.64,5.83,8,"con_06","no","protein-","protein-.ANXIETY","PR_anx",0,17.7625223434061,16.4897301372703,315.5072,271.9112,-0.942353290777509,-0.890952202189645,0.512252925604545,32,0.262403059790415,-0.342854891756684,0.0362687802416967,0.190443640591375
"comp_18","s_01","D_03","A_03","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-22","Zeiger_Rodent_RQ22-5_LP_isoc",1,43,"pre+lact",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,199,10,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-22",21,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Border_zone_entries","#","no","night","cc-rr",41.73,4.49,8,55.64,5.83,8,"con_06","no","protein-","protein-.ANXIETY","PR_anx",0,12.6996377901104,16.4897301372703,161.2808,271.9112,-0.945152557837833,-0.893598781955769,0.512324951555298,32,0.262476855986138,-0.287682072451781,0.0225559988501159,0.150186546834648
"comp_19","s_01","D_01","A_01","Reyes-Castro",2012,"Maternal protein restriction in the","J022","rats","Wistar","protein","-",50,NA,"no","yes","yes","yes","Zeiger_Rodent_RQ22-23","Zeiger_Rodent_RQ22-5_LP_isoc",1,22,"pre",122,20,20,"yes","single",22,12,10,"yes","no","f","group",209,4,200,7,10,10,90,5.6,0.05,5.1,"0.04",16,16,"20% casein control","yes","Zeiger_Rodent_RQ22-23",1,"yes",90,"EXPLORATION","ANXIETY","Open_Field",60,"Center_zone_time","sec","yes","night","cc-rc",131.85,26.75,8,200.64,26.75,8,"con_07","no","protein-","protein-.ANXIETY","PR_anx",0,75.6604255869606,75.6604255869606,5724.5,5724.5,-0.909193934164908,0.859601537755913,0.511415236190715,32,0.261545543808005,0.41984734464526,0.0589362511835665,0.242767895701978
